id,title,dealer,refrence_id,carlength,carwidth,carheight,m3,serial_code,manufacturer_month,registration_year,Interior_color,exterior_color,mileage,engine_no,engine_size,fuel_type,chassis_no,transmission,drive,regular_price,price_yen,sale_price,steering,air_bags,dual_air_bags,air_conditioning,dual_air_conditioning,sun_roof,power_steering,power_window,power_mirror,central_locking,key_less_entry,leather_seats,gps,player,seats,doors,push_start,tv_navi,alloy_wheels,cruise_control,grill_guard,fog_lamps,hid,parking_sensor,rear_parking_camera,pas,power_slide_doors,full_aero_kits,wooden_steering,roof_rails,rear_spoiler,weight,ss,pc,carig_one,carig_two,created_at,updated_at
8165,2014 MAZDA ATENZA WAGON,Agasta K.K,45200561,4.8,1.84,1.48,13.07,OTOZ-8165,\N,\N,Black,Black,81299,\N,2200,Diesel,\N,AT,2wd,4124,640000,4124.24,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-18 01:21:34,2025-01-17 01:10:34
8167,2015 DAIHATSU TANTO,Agasta K.K,45000935,3.39,1.47,1.75,8.72,OTOZ-8167,\N,\N,Black,Black,50415,\N,660,Petrol,\N,AT,2wd,4773,750000,4773.88,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-19 01:03:49,2024-12-25 01:03:47
8168,2008 TOYOTA NOAH,Agasta K.K,45100725,4.63,1.72,1.85,14.73,OTOZ-8168,\N,\N,Silver,Silver,80250,\N,2000,Petrol,\N,AT,2wd,2976,470000,2976.7,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-19 01:08:00,2024-12-27 01:07:42
8169,2009 LEXUS HS,Agasta K.K,45100736,4.7,1.78,1.5,12.55,OTOZ-8169,\N,\N,Silver,Silver,132916,\N,2400,Petrol,\N,AT,2wd,4180,660000,4180.05,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-19 01:08:12,2024-12-27 01:07:55
8170,1997 TOYOTA HILUX SURF (4RUNNER),Agasta K.K,45101158,4.85,1.8,1.76,15.36,OTOZ-8170,\N,\N,Silver,Silver,146036,\N,2700,Petrol,\N,AT,2wd,6449,1020000,6449.08,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-19 01:12:44,2025-01-10 01:05:39
8171,2013 TOYOTA CROWN,Agasta K.K,45200143,4.89,1.8,1.45,12.76,OTOZ-8171,\N,\N,Black,Black,193137,\N,2500,Petrol,\N,AT,2wd,7348,1160000,7348.51,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-19 01:16:11,2024-12-29 01:13:39
8172,2023 HONDA FIT HYBRID,Agasta K.K,45200185,4.08,1.69,1.54,10.62,OTOZ-8172,\N,\N,Gray,Gray,3584,\N,1500,Petrol,\N,AT,2wd,13358,2100000,13358.3,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-19 01:17:29,2025-01-05 01:08:09
8173,2020 HONDA FREED,Agasta K.K,45200254,4.26,1.69,1.71,12.31,OTOZ-8173,\N,\N,Green,Green,41944,\N,1500,Petrol,\N,AT,2wd,10620,1520000,10620.6,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-19 01:18:56,2025-04-15 01:01:09
8174,2017 TOYOTA ALPHARD,Agasta K.K,45200312,4.93,1.85,1.88,17.15,OTOZ-8174,\N,\N,Pearl,Pearl,49888,\N,3500,Petrol,\N,AT,2wd,18942,2940000,18942.7,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-19 01:20:15,2025-02-01 01:05:35
8175,2013 MAZDA CX-5,Agasta K.K,45200313,4.54,1.84,1.7,14.2,OTOZ-8175,\N,\N,Blue,Blue,115287,\N,2200,Diesel,\N,AT,2wd,3416,540000,3416.49,RIGHT,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2024-12-19 01:20:19,2025-01-08 01:09:23
